100     -12214  anti_delta(1700)+          1700.00000  
101     -12224  anti_delta(1700)++         1700.00000  
102     -11114  anti_delta(1700)-          1700.00000  
103     -12114  anti_delta(1700)0          1700.00000  
104     -12122  anti_delta(1900)+          1840.00000  
105     -12222  anti_delta(1900)++         1840.00000  
106     -11112  anti_delta(1900)-          1840.00000  
107     -11212  anti_delta(1900)0          1840.00000  
108      -2126  anti_delta(1905)+          1905.00000  
109      -2226  anti_delta(1905)++         1905.00000  
110      -1116  anti_delta(1905)-          1905.00000  
111      -1216  anti_delta(1905)0          1905.00000  
112     -22122  anti_delta(1910)+          1910.00000  
113     -22222  anti_delta(1910)++         1910.00000  
114     -21112  anti_delta(1910)-          1910.00000  
115     -21212  anti_delta(1910)0          1910.00000  
116     -22214  anti_delta(1920)+          1920.00000  
117     -22224  anti_delta(1920)++         1920.00000  
118     -21114  anti_delta(1920)-          1920.00000  
119     -22114  anti_delta(1920)0          1920.00000  
120     -12126  anti_delta(1930)+          1930.00000  
121     -12226  anti_delta(1930)++         1930.00000  
122     -11116  anti_delta(1930)-          1930.00000  
123     -11216  anti_delta(1930)0          1930.00000  
124      -2218  anti_delta(1950)+          1950.00000  
125      -2228  anti_delta(1950)++         1950.00000  
126      -1118  anti_delta(1950)-          1950.00000  
127      -2118  anti_delta(1950)0          1950.00000  
128      -2214  anti_delta+                1232.00000  
129      -2224  anti_delta++               1232.00000  
130      -1114  anti_delta-                1232.00000  
131      -2114  anti_delta0                1232.00000  
132    -100311  anti_k(1460)0              1432.40000  
133     -10311  anti_k0_star(1430)0        1412.00000  
134     -10313  anti_k1(1270)0             1272.00000  
135     -20313  anti_k1(1400)0             1402.00000  
136     -10315  anti_k2(1770)0             1773.00000  
137       -315  anti_k2_star(1430)0        1432.40000  
138    -100315  anti_k2_star(1980)0        1973.00000  
139       -317  anti_k3_star(1780)0        1776.00000  
140    -100313  anti_k_star(1410)0         1414.00000  
141     -30313  anti_k_star(1680)0         1717.00000  
142       -313  anti_k_star0                896.10000  
143       -311  anti_kaon0                  497.67200  
144      -3122  anti_lambda                1115.68400  
145     -13122  anti_lambda(1405)          1407.00000  
146      -3124  anti_lambda(1520)          1519.50000  
147     -23122  anti_lambda(1600)          1600.00000  
148     -33122  anti_lambda(1670)          1670.00000  
149     -13124  anti_lambda(1690)          1690.00000  
150     -43122  anti_lambda(1800)          1800.00000  
151     -53122  anti_lambda(1810)          1810.00000  
152      -3126  anti_lambda(1820)          1820.00000  
153     -13126  anti_lambda(1830)          1830.00000  
154     -23124  anti_lambda(1890)          1890.00000  
155      -3128  anti_lambda(2100)          2100.00000  
156     -23126  anti_lambda(2110)          2110.00000  
157      -4122  anti_lambda_c+             2284.90000   
158      -2112  anti_neutron                939.56563   
159        -12  anti_nu_e                     0.00000   
160        -14  anti_nu_mu                    0.00000   
161        -16  anti_nu_tau                   0.00000   
162      -3334  anti_omega-                1672.45000  
163      -4332  anti_omega_c0              2697.50000   
164      -2212  anti_proton                 938.27230   
165         -3  anti_s_quark                300.00000   
166      -3101  anti_sd0_diquark            315.00000   
167      -3103  anti_sd1_diquark            315.00000   
168      -3224  anti_sigma(1385)+          1384.00000  
169      -3114  anti_sigma(1385)-          1384.00000  
170      -3214  anti_sigma(1385)0          1384.00000  
